KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
PRODUCT_DJ21_DESCRIPTION, "Bring down the house in your Road to Legend campaign by adding the Manor of Ravens expansion to your collection!"
PRODUCT_DJ21_CONTENTS, "Digital content unlocked:\n
• 2 heroes
• 2 monster groups
• 2 hero classes
• 9 shop items
• 1 condition
•  1 side quest: ""Smash and Grab"""

PRODUCT_DJ40_TITLE,"Mists of Bilehall"
PRODUCT_DJ40_DESCRIPTION, "Venture into the mists in your Road to Legend campaign by adding the Mists of Bilehall expansion to your collection!"
PRODUCT_DJ40_CONTENTS, "Digital content unlocked:\n
• 3 monster groups
• 8 shop items
• 1 condition
•  1 side quest: ""Mad Moriden's Tower"""

PRODUCT_DJ44_TITLE,"The Chains That Rust"
PRODUCT_DJ44_DESCRIPTION, "Resist the corruption in your Road to Legend campaign by adding The Chains That Rust expansion to your collection!"
PRODUCT_DJ44_CONTENTS, "Digital content unlocked:\n
• 3 monster groups
• 4 hero classes
• 9 shop items
• 1 condition
•  1 side quest: ""Names of Nightfall"""

PRODUCT_DJ16_TITLE,"Raythen"
PRODUCT_DJ16_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Raythen, thieving agent of the overlord, by adding the Raythen Lieutenant Pack to your collection!"
PRODUCT_DJ16_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Raythen lieutenant
• 1 Raythen hero"

PRODUCT_DJ17_TITLE,"Serena"
PRODUCT_DJ17_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Serena, protective agent of the overlord, by adding the Serena Lieutenant Pack to your collection!"
PRODUCT_DJ17_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Serena lieutenant
• 1 Serena hero"

PRODUCT_DJ09_TITLE,"Splig"
PRODUCT_DJ09_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Splig, cowardly agent of the overlord, by adding the Splig Lieutenant Pack to your collection!"
PRODUCT_DJ09_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Splig lieutenant"

PRODUCT_DJ10_TITLE,"Belthir"
PRODUCT_DJ10_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Belthir, mercenary agent of the overlord, by adding the Belthir Lieutenant Pack to your collection!"
PRODUCT_DJ10_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Belthir lieutenant"

PRODUCT_DJ11_TITLE,"Zachareth"
PRODUCT_DJ11_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Zachareth, lordly agent of the overlord, by adding the Zachareth Lieutenant Pack to your collection!"
PRODUCT_DJ11_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Zachareth lieutenant"

PRODUCT_DJ12_TITLE,"Alric Farrow"
PRODUCT_DJ12_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Alric Farrow, undead agent of the overlord, by adding the Alric Farrow Lieutenant Pack to your collection!"
PRODUCT_DJ12_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Alric Farrow lieutenant"

PRODUCT_DJ13_TITLE,"Merick Farrow"
PRODUCT_DJ13_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Merick Farrow, necromantic agent of the overlord, by adding the Merick Farrow Lieutenant Pack to your collection!"
PRODUCT_DJ13_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Merick Farrow lieutenant"

PRODUCT_DJ14_TITLE,"Eliza Farrow"
PRODUCT_DJ14_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Eliza Farrow, bewitching agent of the overlord, by adding the Eliza Farrow Lieutenant Pack to your collection!"
PRODUCT_DJ14_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Eliza Farrow lieutenant"

PRODUCT_DJ15_TITLE,"Valyndra"
PRODUCT_DJ15_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Valyndra, fiery agent of the overlord, by adding the Valyndra Lieutenant Pack to your collection!"
PRODUCT_DJ15_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Valyndra lieutenant"

PRODUCT_DJ18_TITLE,"Ariad"
PRODUCT_DJ18_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Ariad, veiled agent of the overlord, by adding the Ariad Lieutenant Pack to your collection!"
PRODUCT_DJ18_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Ariad lieutenant"

PRODUCT_DJ19_TITLE,"Queen Ariad"
PRODUCT_DJ19_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Queen Ariad, monstrous agent of the overlord, by adding the Queen Ariad Lieutenant Pack to your collection!"
PRODUCT_DJ19_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Queen Ariad lieutenant"

PRODUCT_DJ20_TITLE,"Bol'Goreth"
PRODUCT_DJ20_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Bol'Goreth, fearsome agent of the overlord, by adding the Bol'Goreth Lieutenant Pack to your collection!"
PRODUCT_DJ20_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Bol'Goreth lieutenant"

PRODUCT_DJ22_TITLE,"Rylan Olliven"
PRODUCT_DJ22_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Rylan Olliven, corrupting agent of the overlord, by adding the Rylan Olliven Lieutenant Pack to your collection!"
PRODUCT_DJ22_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Rylan Olliven lieutenant"

PRODUCT_DJ23_TITLE,"Verminous"
PRODUCT_DJ23_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Verminous, loathsome agent of the overlord, by adding the Verminous Lieutenant Pack to your collection!"
PRODUCT_DJ23_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Verminous lieutenant"

PRODUCT_DJ24_TITLE,"Tristayne Olliven"
PRODUCT_DJ24_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Tristayne Olliven, foul agent of the overlord, by adding the Tristayne Olliven Lieutenant Pack to your collection!"
PRODUCT_DJ24_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Tristayne Olliven lieutenant"

PRODUCT_DJ25_TITLE,"Gargan Mirklace"
PRODUCT_DJ25_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Gargan Mirklace, demonic agent of the overlord, by adding the Gargan Mirklace Lieutenant Pack to your collection!"
PRODUCT_DJ25_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Gargan Mirklace lieutenant"

PRODUCT_DJ35_TITLE,"Skarn"
PRODUCT_DJ35_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Skarn, twisted agent of the overlord, by adding the Skarn Lieutenant Pack to your collection!"
PRODUCT_DJ35_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Skarn lieutenant"

PRODUCT_DJ41_TITLE,"Kyndrithul"
PRODUCT_DJ41_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Kyndrithul, vampiric agent of the overlord, by adding the Kyndrithul Lieutenant Pack to your collection!"
PRODUCT_DJ41_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Kyndrithul lieutenant"

PRODUCT_DJ42_TITLE,"Zarihell"
PRODUCT_DJ42_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Zarihell, enigmatic agent of the overlord, by adding the Zarihell Lieutenant Pack to your collection!"
PRODUCT_DJ42_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Zarihell lieutenant"

PRODUCT_DJ43_TITLE,"Ardus Ix'Erebus"
PRODUCT_DJ43_DESCRIPTION, "Rise to the challenge in your Road to Legend campaign and defeat Ardus Ix'Erebus, commanding agent of the overlord, by adding the Ardus Ix'Erebus Lieutenant Pack to your collection!"
PRODUCT_DJ43_CONTENTS, "Digital content unlocked:\n
• 1 new peril effect, which summons the Ardus Ix'Erebus lieutenant"

PRODUCT_DJ26_TITLE,"Oath of the Outcast"
PRODUCT_DJ26_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Oath of the Outcast to your collection!"
PRODUCT_DJ26_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ27_TITLE,"Crown of Destiny"
PRODUCT_DJ27_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Crown of Destiny to your collection!"
PRODUCT_DJ27_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ28_TITLE,"Crusade of the Forgotten"
PRODUCT_DJ28_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Crusade of the Forgotten to your collection!"
PRODUCT_DJ28_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ29_TITLE,"Guardians of Deephall"
PRODUCT_DJ29_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Guardians of Deephall to your collection!"
PRODUCT_DJ29_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ30_TITLE,"Visions of Dawn"
PRODUCT_DJ30_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Visions of Dawn to your collection!"
PRODUCT_DJ30_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ31_TITLE,"Bonds of the Wild"
PRODUCT_DJ31_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Bonds of the Wild to your collection!"
PRODUCT_DJ31_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ32_TITLE,"Treaty of Champions"
PRODUCT_DJ32_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Treaty of Champions to your collection!"
PRODUCT_DJ32_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ33_TITLE,"Stewards of the Secret"
PRODUCT_DJ33_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Stewards of the Secret to your collection!"
PRODUCT_DJ33_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

PRODUCT_DJ34_TITLE,"Shards of Everdark"
PRODUCT_DJ34_DESCRIPTION, "Recruit legendary heroes and expand your legion of monsters by adding Shards of Everdark to your collection!"
PRODUCT_DJ34_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 3 monster groups"

UI_LANGUAGE,"Language"
UI_RESOLUTION,"Resolution"
UI_WINDOWED,"Windowed"
UI_SOUNDEFFECTS,"Sound Effects"
UI_AMBIENTMUSIC,"Ambient Music"
UI_TRAVEL,"Travel"
UI_CONTINUE,"Continue"
UI_ACTIVATE,"activate"
UI_ACTIVATED,"end turn"
UI_FORCE_ACTIVATE,"force activate"
UI_NOT_IN_PLAY,"Not in Play"
UI_CANT_RESOLVE,"Cannot Resolve"
UI_FINISH_ACTIVATIONS_FORMAT,"All {0} Activated"
UI_NEXT_ACTIVATION_GROUP,"Next Monster Group"
UI_ALL_MASTER_SUBGROUP_ACTIVATED,"Masters Activated"
UI_ALL_MINION_SUBGROUP_ACTIVATED,"All Minions Activated"
UI_TAP_TO_CONTINUE,"Continue"
UI_CONFIRM,"Confirm"
UI_CANCEL,"Cancel"
UI_AGREE,"Agree"
UI_RESOLVE,"Resolve"
UI_PLUS,"+"
UI_MINUS,"-"
UI_SETUP_BEGIN,"Begin Setup"
UI_SETUP_FINISHED,"Setup Complete"
UI_GOLD,"Gold"
UI_MORALE,"Morale"
UI_PASS,"Pass"
UI_PASS_BOTH,"Pass Both"
UI_FAIL,"Fail"
UI_YES,"Yes"
UI_NO,"No"
UI_PICK_UP,"Pick Up"
UI_ALL_PASS,"All heroes pass"
UI_SEARCH,"Search"
UI_KO_CONFIRMATION_FORMATTED,"Has {0} been knocked out?"
UI_MONSTER_DEFEAT_CONFIRMATION_FORMATTED,"Defeat {0}?"
UI_MONSTER_FORCE_ACTIVATE_CONFIRMATION_FORMATTED,"Force activate {0}?"
UI_STUNNED,"Stun/Immobilize"
DOES_NOTHING,"Do nothing."
UI_WEEK_COUNTER,"Week"
UI_MORALE_COUNTER,"Morale"
UI_CLOSE,"Close"
MINION,"Minion"
MASTER,"Master"
UI_MENU,"MENU"
UI_OPTIONS,"Options"
UI_SAVE_CAMPAIGN,"Save Campaign"
UI_QUIT_CAMPAIGN,"Quit Campaign"
UI_CREDITS, "credits"
UI_SUCCESS,"Pass"
UI_FAILURE,"Fail"
UI_VICTORY,"Victory!"
UI_DEFEAT,"Defeat!"
UI_ITEM_GAINED,"Item Gained!"
UI_ITEM_NONE,"No Items..."
UI_DEFEAT_GROUP,"defeat group"
UI_DEFEAT_UNIQUE,"defeat unique"
UI_NAMED_MONSTER,"Unique Monster"
UI_INFO,"info"
UI_LEAVE,"Leave"
UI_BEGIN,"Begin"
UI_ENDING,"The End"
UI_PARTY_INVENTORY,"Party Inventory"
UI_SHOP_INVENTORY,"Shop Inventory"
UI_GAIN_GOLD, "gold gained  {0}"
UI_GAIN_FAME, "fame gained  {0}"
UI_GAIN_XP, "xp gained  {0}"
UI_KO,"ko"
UI_REVIVE,"recover"
UI_SKILL_TRAINING,"skill training"
UI_QUEST_BEGIN_FORMATTED_SINGULAR,"Begin in {0} week"
UI_QUEST_BEGIN_FORMATTED_PLURAL,"Begin in {0} weeks"
UI_START_QUEST,"Start Quest"
UI_SIDE_QUEST,"Side Quest"
UI_SELECT_ITEM_PURCHASE, "Select an item to purchase"
UI_SELECT_ITEM_SELL, "Select an item to sell"
UI_TOTAL_PARTY_GOLD, "Party Gold"
UI_NORESULTS, "no results"
UI_EXPANSIONS, "expansions"
UI_HEROANDMONSTER, "hero and monster collections"
UI_LIEUTENANTMINIATURES, "lieutenant miniatures"
UI_OWNED, "owned"
UI_NOTOWNED, "not owned"
UI_BACK, "back"
UI_QUESTREWARDS, "quest rewards"
UI_DONE, "Done"
UI_EMPTY,"Empty"
UI_SLOT, "slot"
UI_NEW,"New"
UI_SAVESLOT_SELECT,"select save slot"
UI_SAVESLOT_LOAD,"load campaign"
UI_SAVESLOT_DELETE, "Are you sure you want to delete data for [FFE72CFF]slot {0}[-]?"
UI_SAVESLOT_OVERWRITE, "Are you sure you want to overwrite data for [FFE72CFF]slot {0}[-]?"
UI_PARTY_NAME_DEFAULT, "Group Name (Select to Edit)"
UI_NO_MESSAGES,"Nothing significant transpired."
UI_COMING_SOON,"coming soon"
UI_CAMPAIGN_SELECTION,"campaign selection"
UI_SELECT_SAVE_SLOTS,"select save slot"
UI_SELECT_HEROES,"select heroes"
UI_SELECT_CLASS,"select a class for each hero"
UI_CLASS_ALL,"All"
UI_CLASS_MAGE,"Mage"
UI_CLASS_WARRIOR,"Warrior"
UI_CLASS_SCOUT,"Scout"
UI_CLASS_HEALER,"Healer"
UI_HYBRID_SELECT, "Select the additional standard class for this [FFE72CFF]hybrid[-] class"
UI_PARTY_OVERVIEW,"party overview"
UI_DOWNLOADABLE_CONTENT,"downloadable content"
UI_MISSING_PRODUCTS_TITLE,"The following products are required for this save file. Please enable them before proceeding"
UI_MISSING_PRODUCTS_MORE_FORMAT,"+ {0} more..."
UI_OPEN, "Open"
UI_MONSTER_TURN,"Monster Turn"
UI_HERO_TURN,"Hero Turn"
UI_THANKS_FOR_PLAYING_FORMAT,"Thanks for playing {0}! \n\nContinue your road to legend with the {1} campaign, coming soon!"
UI_TUTORIAL_PROMPT,"Would you like to play the [i]Road to Legend[/i] [FFE72CFF]tutorial quest?[-]"
UI_SKIP,"Skip"
UI_PLAY,"Play"
UI_OBJECTIVE,"Objective"
UI_NEW_ROUND,"NEW ROUND"
UI_DEFAULT_OBJECTIVE,"Continue your journey..."
UI_CLASS, "- class -"
UI_PURCHASED, "Purchased"
UI_PURCHASING, "Purchasing..."
UI_RESTORE_PURCHASES, "Restore Purchases"
UI_RESTORE_PENDING, "Restoring Purchases..."
UI_RESTORE_SUCCESS, "Restore Success!"
UI_RESTORE_FAILED, "Restore Failed. Error: "
UI_RESTORE_TIMEDOUT, "Restore timed out..."
UI_CITY_ACTION, "City Action"
UI_CITY_SPECIAL_ACTION_COST_FORMATTED,"(1 Week + {0} Gold per Hero)"
UI_INSUFFICIENT_GOLD, "Insufficient Gold!"
UI_DIFFICULTY_SELECTION,"Select Difficulty"
UI_DIFFICULTY_NORMAL,"Normal"
UI_DIFFICULTY_HARD,"Hard"
UI_DIFFICULTY_HEROIC,"Heroic"
UI_DIFFICULTY_LEGENDARY, "Legendary"
UI_DIFFICULTY_NORMAL_DESC,"Begin as a recruit, leave as a hero."
UI_DIFFICULTY_HARD_DESC,"For seasoned veterans."
UI_DIFFICULTY_HEROIC_DESC,"When you've got something to prove."
UI_DIFFICULTY_LEGENDARY_DESC,"When there's nothing left to lose."
UI_IAP_FREE,"Free"
UI_IAP_BUY,"Buy"
UI_COLLECTION_ADD,"Add to Collection"
UI_WEBSTORE,"Webstore"
UI_NEWCAMPAIGN,"New Campaign"
UI_LOADCAMPAIGN,"Load Campaign"
UI_STORE,"Store"
UI_COLLECTION,"Collection"
UI_RULES,"Rules"
UI_CAMPAIGNS,"Campaigns"
UI_OTHERAPPS,"Other Apps"
UI_BOARDGAMES,"Board Games"
UI_QUIT,"Quit"
UI_QUIT_CONFIRMATION,"Are you sure you want to quit?"
UI_MENU_SURRENDER,"Surrender"
UI_MENU_SURRENDER_CONFIRMATION,"Are you sure you want to surrender the current quest?"
UI_WARNING_CLASS_INCOMPLETE,"Please select a class for each party member!"
UI_WARNING_CLASS_DUPLICATE,"Heroes cannot select the same classes!"
UI_WARNING_GROUPNAME,"Please select a name for your party!"
UI_GROUPNAME_DEFAULT,"Group Name (Select to Edit)"
UI_REMINDER_THANKS,"Thank you for downloading"
UI_REMINDER_REQUIRES,"*This application requires the board game"

FAME_TITLE,"fame level"
FAME_DESCRIPTION,"Your fame level influences the selection of shop items available in cities as well as options for certain travel events."
FAME_INSIGNIFICANT,"insignificant"
FAME_NOTEWORTHY,"noteworthy"
FAME_IMPRESSIVE,"impressive"
FAME_CELEBRATED,"celebrated"
FAME_HEROIC,"heroic"
FAME_LEGENDARY,"legendary"
FAME_RANGE,"{0} - {1}"
FAME_RANGE_TOP,"{0}+"

Act1,"Act I"
Act2,"Act II"
Relic,"Relic"
Class,"Class"

CITY_GOLD_INSUFFICIENT, "Not enough gold!"
CITY_ITEM_SELL,"Sell Item?"
CITY_ITEM_SOLD,"Item Sold!"
CITY_ITEM_BUY,"Buy Item?"
CITY_ITEM_BOUGHT,"Item Bought!"
CITY_TAMALIR,"Tamalir"
CITY_TAMALIR_ACTION_TITLE,"Give Heroes 1 XP"
CITY_TAMALIR_ACTION_CONFIRM,"Wait 1 week?"
CITY_WAIT,"wait 1 week"
CITY_WAIT_CONFIRM,"This will regenerate the cards in the shop and reduce the number of weeks remaining until the next story quest. Are you sure you want to wait 1 week? "

//Classes
CLASS_APOTHECARY_NAME,"Apothecary"
CLASS_APOTHECARY_1,"Herbal Lore"
CLASS_APOTHECARY_2,"Concoction"
CLASS_APOTHECARY_3,"Inky Substance"
CLASS_APOTHECARY_4,"Secret Formula"
CLASS_APOTHECARY_5,"Protective Tonic"
